Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Trim Goblin - 17psi 91oct.ptm]
0.50,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
0.55,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
0.60,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
0.65,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
0.70,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
0.75,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
0.80,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
0.85,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
0.90,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
0.95,0.40,-3.10,16.40,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
1.00,0.40,-3.10,16.40,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
1.05,0.40,-3.10,16.40,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
1.10,0.40,-3.10,16.40,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
1.15,0.40,-3.10,16.40,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1722.0,0.00,10.0,27.3,0,
1.20,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1726.0,0.00,10.0,27.4,0,
1.25,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1730.0,0.00,10.0,27.5,0,
1.30,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1734.0,0.00,10.0,27.6,0,
1.35,0.40,-3.10,16.40,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1738.0,0.00,10.0,27.7,0,
1.40,0.40,-3.10,16.40,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1742.0,0.00,10.0,27.8,0,
1.45,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1746.0,0.00,10.0,27.9,0,
1.50,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
1.55,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
1.60,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
1.65,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
1.70,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
1.75,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
1.80,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
1.85,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
1.90,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
1.95,0.40,-3.10,16.40,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
2.00,0.40,-3.10,16.40,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
2.05,0.40,-3.10,16.40,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
2.10,0.40,-3.10,16.40,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
2.15,0.40,-3.10,16.40,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1722.0,0.00,10.0,27.3,0,
2.20,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1726.0,0.00,10.0,27.4,0,
2.25,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1730.0,0.00,10.0,27.5,0,
2.30,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1734.0,0.00,10.0,27.6,0,
2.35,0.40,-3.10,16.40,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1738.0,0.00,10.0,27.7,0,
2.40,0.40,-3.10,16.40,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1742.0,0.00,10.0,27.8,0,
2.45,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1746.0,0.00,10.0,27.9,0,
2.50,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
2.55,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
2.60,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
2.65,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
2.70,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
2.75,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
2.80,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
2.85,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
2.90,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
2.95,0.40,-3.10,16.40,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
3.00,0.40,-3.10,16.40,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
3.05,0.40,-3.10,16.40,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
3.10,0.40,-3.10,16.40,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
3.15,0.40,-3.10,16.40,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1722.0,0.00,10.0,27.3,0,
3.20,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1726.0,0.00,10.0,27.4,0,
3.25,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1730.0,0.00,10.0,27.5,0,
3.30,0.40,-3.10,16.40,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1734.0,0.00,10.0,27.6,0,
3.35,0.40,-3.10,16.40,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1738.0,0.00,10.0,27.7,0,
3.40,0.40,-3.10,16.40,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1742.0,0.00,10.0,27.8,0,
3.45,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1746.0,0.00,10.0,27.9,0,
3.50,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
3.55,0.40,-3.10,16.40,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
3.60,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
3.65,0.40,-3.10,16.40,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
3.70,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
3.75,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
3.80,0.40,-3.10,16.40,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
3.85,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
3.90,0.40,-3.10,16.40,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
3.95,0.40,-3.10,16.40,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
