Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Almost Tidy - 16psi 93oct.ptm]
0.50,0.40,-1.00,3.10,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
0.55,0.40,-1.00,3.10,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
0.60,0.40,-1.00,3.10,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
0.65,0.40,-1.00,3.10,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
0.70,0.40,-1.00,3.10,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
0.75,0.40,-1.00,3.10,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
0.80,0.40,-1.00,3.10,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
0.85,0.40,-1.00,3.10,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
0.90,0.40,-1.00,3.10,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
0.95,0.40,-1.00,3.10,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
1.00,0.40,-1.00,3.10,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
1.05,0.40,-1.00,3.10,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
1.10,0.40,-1.00,3.10,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
1.20,0.40,-1.00,3.10,13.40,100.0,3.06,1.550,12.80,190.0,1.00,0.00,0.00,2300,3,6.0,16.0,82.0,96.0,202.0,2800.0,3.06,97.0,34.0,0,
1.25,0.40,-1.00,3.10,13.40,100.0,3.44,1.558,12.80,190.0,1.00,0.00,0.00,2305,3,6.1,16.1,82.0,96.0,202.0,2833.3,3.44,97.0,34.5,0,
1.30,0.40,-1.00,3.10,13.40,100.0,3.83,1.565,12.80,190.0,1.00,0.00,0.00,2310,3,6.2,16.2,82.0,96.0,202.0,2866.7,3.83,97.0,35.0,0,
1.35,0.40,-1.00,3.10,13.40,100.0,4.22,1.573,12.80,190.0,1.00,0.00,0.00,2315,3,6.2,16.4,82.0,96.0,202.0,2900.0,4.22,97.0,35.5,0,
1.40,0.40,-1.00,3.10,13.40,100.0,4.60,1.580,12.80,190.0,1.00,0.00,0.00,2320,3,6.3,16.5,82.0,96.0,202.0,2933.3,4.60,97.0,35.9,0,
1.45,0.40,-1.00,3.10,13.40,100.0,4.99,1.588,12.80,190.0,1.00,0.00,0.00,2325,3,6.4,16.6,82.0,96.0,202.0,2966.7,4.99,97.0,36.4,0,
1.50,0.40,-1.00,3.10,13.40,100.0,5.37,1.595,12.80,190.0,1.00,0.00,0.00,2330,3,6.5,16.7,82.0,96.0,202.0,3000.0,5.37,97.0,36.9,0,
1.55,0.40,-1.00,3.10,13.40,100.0,5.76,1.603,12.80,190.0,1.00,0.00,0.00,2335,3,6.6,16.8,82.0,96.0,202.0,3033.3,5.76,97.0,37.4,0,
1.60,0.40,-1.00,3.10,13.40,100.0,6.15,1.611,12.80,190.0,1.00,0.00,0.00,2340,3,6.6,17.0,82.0,96.0,202.0,3066.7,6.15,97.0,37.9,0,
1.65,0.40,-1.00,3.10,13.40,100.0,6.53,1.618,12.80,190.0,1.00,0.00,0.00,2345,3,6.7,17.1,82.0,96.0,202.0,3100.0,6.53,97.0,38.4,0,
1.70,0.40,-1.00,3.10,13.40,100.0,6.92,1.626,12.80,190.0,1.00,0.00,0.00,2351,3,6.8,17.2,82.0,96.0,202.0,3133.3,6.92,97.0,38.8,0,
1.75,0.40,-1.00,3.10,13.40,100.0,7.30,1.633,12.80,190.0,1.00,0.00,0.00,2356,3,6.9,17.3,82.0,96.0,202.0,3166.7,7.30,97.0,39.3,0,
1.80,0.40,-1.00,3.10,13.40,100.0,7.69,1.641,12.80,190.0,1.00,0.00,0.00,2361,3,7.0,17.5,82.0,96.0,202.0,3200.0,7.69,97.0,39.8,0,
1.85,0.40,-1.00,3.10,13.40,100.0,8.08,1.648,12.80,190.0,1.00,0.00,0.00,2366,3,7.1,17.6,82.0,96.0,202.0,3233.3,16.00,97.0,40.3,0,
1.90,0.40,-1.00,3.10,13.40,100.0,8.46,1.656,12.80,190.0,1.00,0.00,0.00,2371,3,7.1,17.7,82.0,96.0,202.0,3266.7,16.00,97.0,40.8,0,
1.95,0.40,-1.00,3.10,13.40,100.0,8.85,1.664,12.80,190.0,1.00,0.00,0.00,2376,3,7.2,17.8,82.0,96.0,202.0,3300.0,16.00,97.0,41.3,0,
2.00,0.40,-1.00,3.10,13.40,100.0,9.23,1.671,12.80,190.0,1.00,0.00,0.00,2381,3,7.3,17.9,82.0,96.0,202.0,3333.3,16.00,97.0,41.8,0,
2.05,0.40,-1.00,3.10,13.40,100.0,9.62,1.679,12.80,190.0,1.00,0.00,0.00,2386,3,7.4,18.1,82.0,96.0,202.0,3366.7,16.00,97.0,42.2,0,
2.10,0.40,-1.00,3.10,11.12,100.0,10.01,1.686,11.08,190.0,1.00,0.00,0.00,2391,3,7.5,18.2,82.0,96.0,202.0,3400.0,16.00,97.0,42.7,0,
2.15,0.40,-1.00,3.10,11.12,100.0,10.39,1.694,11.08,190.0,1.00,0.00,0.00,2396,3,7.5,18.3,82.0,96.0,202.0,3433.3,16.00,97.0,43.2,0,
2.20,0.40,-1.00,3.10,11.12,100.0,10.78,1.702,11.08,190.0,1.00,0.00,0.00,2401,3,7.6,18.4,82.0,96.0,202.0,3466.7,16.00,97.0,43.7,0,
2.25,0.40,-1.00,3.10,11.12,100.0,11.16,1.709,11.08,190.0,1.00,0.00,0.00,2406,3,7.7,18.5,82.0,96.0,202.0,3500.0,16.00,97.0,44.2,0,
2.30,0.40,-1.00,3.10,11.12,100.0,11.55,1.717,11.08,190.0,1.00,0.00,0.00,2411,3,7.8,18.7,82.0,96.0,202.0,3533.3,16.00,97.0,44.7,0,
2.35,0.40,-1.00,3.10,11.12,100.0,11.94,1.724,11.08,190.0,1.00,0.00,0.00,2416,3,7.9,18.8,82.0,96.0,202.0,3566.7,16.00,97.0,45.2,0,
2.40,0.40,-1.00,3.10,11.12,100.0,12.32,1.732,11.08,190.0,1.00,0.00,0.00,2421,3,7.9,18.9,82.0,96.0,202.0,3600.0,16.00,97.0,45.6,0,
2.45,0.40,-1.00,3.10,11.12,100.0,12.71,1.739,11.08,190.0,1.00,0.00,0.00,2426,3,8.0,19.0,82.0,96.0,202.0,3633.3,16.00,97.0,46.1,0,
2.50,0.40,-1.00,3.10,11.12,100.0,13.09,1.747,11.08,190.0,1.00,0.00,0.00,2431,3,8.1,19.2,82.0,96.0,202.0,3666.7,16.00,97.0,46.6,0,
2.55,0.40,-1.00,3.10,11.12,100.0,13.48,1.755,11.08,190.0,1.00,0.00,0.00,2436,3,8.2,19.3,82.0,96.0,202.0,3700.0,16.00,97.0,47.1,0,
2.60,0.40,-1.00,3.10,11.12,100.0,13.87,1.762,11.08,190.0,1.00,0.00,0.00,2441,3,8.3,19.4,82.0,96.0,202.0,3733.3,16.00,97.0,47.6,0,
2.65,0.40,-1.00,3.10,11.12,100.0,14.25,1.770,11.08,190.0,1.00,0.00,0.00,2446,3,8.3,19.5,82.0,96.0,202.0,3766.7,16.00,97.0,48.1,0,
2.70,0.40,-1.00,3.10,11.12,100.0,14.64,1.777,11.08,190.0,1.00,0.00,0.00,2452,3,8.4,19.6,82.0,96.0,202.0,3800.0,16.00,97.0,48.5,0,
2.75,0.40,-1.00,3.10,11.12,100.0,15.02,1.785,11.08,190.0,1.00,0.00,0.00,2457,3,8.5,19.8,82.0,96.0,202.0,3833.3,16.00,97.0,49.0,0,
2.80,0.40,-1.00,3.10,11.12,100.0,15.41,1.792,11.08,190.0,1.00,0.00,0.00,2462,3,8.6,19.9,82.0,96.0,202.0,3866.7,16.00,97.0,49.5,0,
2.85,0.40,-1.00,3.10,11.12,100.0,15.80,1.800,11.08,190.0,1.00,0.00,0.00,2467,3,8.7,20.0,82.0,96.0,202.0,3900.0,16.00,97.0,50.0,0,
2.90,0.40,-1.00,3.10,11.12,100.0,16.05,1.808,11.08,190.0,1.00,0.00,0.00,2472,3,8.7,20.1,82.0,96.0,202.0,3933.3,16.00,97.0,50.5,0,
2.95,0.40,-1.00,3.10,11.12,100.0,16.05,1.815,11.08,190.0,1.00,0.00,0.00,2477,3,8.8,20.2,82.0,96.0,202.0,3966.7,16.00,97.0,51.0,0,
3.00,0.40,-1.00,3.10,11.12,100.0,16.05,1.823,11.08,190.0,1.00,0.00,0.00,2482,3,8.9,20.4,82.0,96.0,202.0,4000.0,16.00,97.0,51.5,0,
3.05,0.40,-1.00,3.10,11.12,100.0,16.05,1.830,11.08,190.0,1.00,0.00,0.00,2487,3,9.0,20.5,82.0,96.0,202.0,4033.3,16.00,97.0,51.9,0,
3.10,0.40,-1.00,3.10,11.12,100.0,16.05,1.838,11.08,190.0,1.00,0.00,0.00,2492,3,9.1,20.6,82.0,96.0,202.0,4066.7,16.00,97.0,52.4,0,
3.15,0.40,-1.00,3.10,11.12,100.0,16.05,1.845,11.08,190.0,1.00,0.00,0.00,2497,3,9.2,20.7,82.0,96.0,202.0,4100.0,16.00,97.0,52.9,0,
3.20,0.40,-1.00,3.10,11.12,100.0,16.05,1.853,11.08,190.0,1.00,0.00,0.00,2502,3,9.2,20.8,82.0,96.0,202.0,4133.3,16.00,97.0,53.4,0,
3.25,0.40,-1.00,3.10,11.12,100.0,16.05,1.861,11.08,190.0,1.00,0.00,0.00,2507,3,9.3,21.0,82.0,96.0,202.0,4166.7,16.00,97.0,53.9,0,
3.30,0.40,-1.00,3.10,11.12,100.0,16.05,1.868,11.08,190.0,1.00,0.00,0.00,2512,3,9.4,21.1,82.0,96.0,202.0,4200.0,16.00,97.0,54.4,0,
3.35,0.40,-1.00,3.10,11.12,100.0,16.05,1.876,11.08,190.0,1.00,0.00,0.00,2517,3,9.5,21.2,82.0,96.0,202.0,4233.3,16.00,97.0,54.8,0,
3.40,0.40,-1.00,3.10,11.12,100.0,16.05,1.883,11.08,190.0,1.00,0.00,0.00,2522,3,9.6,21.3,82.0,96.0,202.0,4266.7,16.00,97.0,55.3,0,
3.45,0.40,-1.00,3.10,11.12,100.0,16.05,1.891,11.08,190.0,1.00,0.00,0.00,2527,3,9.6,21.5,82.0,96.0,202.0,4300.0,16.00,97.0,55.8,0,
3.50,0.40,-1.00,3.10,11.12,100.0,16.05,1.898,11.08,190.0,1.00,0.00,0.00,2532,3,9.7,21.6,82.0,96.0,202.0,4333.3,16.00,97.0,56.3,0,
3.55,0.40,-1.00,3.10,11.12,100.0,16.05,1.906,11.08,190.0,1.00,0.00,0.00,2537,3,9.8,21.7,82.0,96.0,202.0,4366.7,16.00,97.0,56.8,0,
3.60,0.40,-1.00,3.10,11.12,100.0,16.05,1.914,11.08,190.0,1.00,0.00,0.00,2542,3,9.9,21.8,82.0,96.0,202.0,4400.0,16.00,97.0,57.3,0,
3.65,0.40,-1.00,3.10,11.12,100.0,16.05,1.921,11.08,190.0,1.00,0.00,0.00,2547,3,10.0,21.9,82.0,96.0,202.0,4433.3,16.00,97.0,57.8,0,
3.70,0.40,-1.00,3.10,11.12,100.0,16.05,1.929,11.08,190.0,1.00,0.00,0.00,2553,3,10.0,22.1,82.0,96.0,202.0,4466.7,16.00,97.0,58.2,0,
3.75,0.40,-1.00,3.10,11.12,100.0,16.05,1.936,11.08,190.0,1.00,0.00,0.00,2558,3,10.1,22.2,82.0,96.0,202.0,4500.0,16.00,97.0,58.7,0,
3.80,0.40,-1.00,3.10,11.12,100.0,16.05,1.944,11.08,190.0,1.00,0.00,0.00,2563,3,10.2,22.3,82.0,96.0,202.0,4533.3,16.00,97.0,59.2,0,
3.85,0.40,-1.00,3.10,11.12,100.0,16.05,1.952,11.08,190.0,1.00,0.00,0.00,2568,3,10.3,22.4,82.0,96.0,202.0,4566.7,16.00,97.0,59.7,0,
3.90,0.40,-1.00,3.10,11.12,100.0,16.05,1.959,11.08,190.0,1.00,0.00,0.00,2573,3,10.4,22.5,82.0,96.0,202.0,4600.0,16.00,97.0,60.2,0,
3.95,0.40,-1.00,3.10,11.12,100.0,16.05,1.967,11.08,190.0,1.00,0.00,0.00,2578,3,10.4,22.7,82.0,96.0,202.0,4633.3,16.00,97.0,60.7,0,
4.00,0.40,-1.00,3.10,11.12,100.0,16.05,1.974,11.08,190.0,1.00,0.00,0.00,2583,3,10.5,22.8,82.0,96.0,202.0,4666.7,16.00,97.0,61.2,0,
4.05,0.40,-1.00,3.10,11.12,100.0,16.05,1.982,11.08,190.0,1.00,0.00,0.00,2588,3,10.6,22.9,82.0,96.0,202.0,4700.0,16.00,97.0,61.6,0,
4.10,0.40,-1.00,3.10,11.12,100.0,16.05,1.989,11.08,190.0,1.00,0.00,0.00,2593,3,10.7,23.0,82.0,96.0,202.0,4733.3,16.00,97.0,62.1,0,
4.15,0.40,-1.00,3.10,11.12,100.0,16.05,1.997,11.08,190.0,1.00,0.00,0.00,2598,3,10.8,23.2,82.0,96.0,202.0,4766.7,16.00,97.0,62.6,0,
4.20,0.40,-1.00,3.10,11.12,100.0,16.05,2.005,11.08,190.0,1.00,0.00,0.00,2603,3,10.8,23.3,82.0,96.0,202.0,4800.0,16.00,97.0,63.1,0,
4.25,0.40,-1.00,3.10,11.90,100.0,16.05,2.012,11.08,190.0,1.00,0.00,0.00,2608,3,10.9,23.4,82.0,96.0,202.0,4833.3,16.00,97.0,63.6,0,
4.30,0.40,-1.00,3.10,11.90,100.0,16.05,2.020,11.08,190.0,1.00,0.00,0.00,2613,3,11.0,23.5,82.0,96.0,202.0,4866.7,16.00,97.0,64.1,0,
4.35,0.40,-1.00,3.10,11.12,100.0,16.05,2.027,11.08,190.0,1.00,0.00,0.00,2618,3,11.1,23.6,82.0,96.0,202.0,4900.0,16.00,97.0,64.5,0,
4.40,0.40,-1.00,3.10,11.12,100.0,16.05,2.035,11.08,190.0,1.00,0.00,0.00,2623,3,11.2,23.8,82.0,96.0,202.0,4933.3,16.00,97.0,65.0,0,
4.45,0.40,-1.00,3.10,11.12,100.0,16.05,2.042,11.08,190.0,1.00,0.00,0.00,2628,3,11.3,23.9,82.0,96.0,202.0,4966.7,16.00,97.0,65.5,0,
4.50,0.40,-1.00,3.10,11.12,100.0,16.05,2.050,11.08,190.0,1.00,0.00,0.00,2633,3,11.3,24.0,82.0,96.0,202.0,5000.0,16.00,97.0,66.0,0,
4.55,0.40,-1.00,3.10,11.12,100.0,16.05,2.058,11.08,190.0,1.00,0.00,0.00,2638,3,11.4,24.1,82.0,96.0,202.0,5033.3,16.00,97.0,66.5,0,
4.60,0.40,-1.00,3.10,11.12,100.0,16.05,2.065,11.08,190.0,1.00,0.00,0.00,2643,3,11.5,24.2,82.0,96.0,202.0,5066.7,16.00,97.0,67.0,0,
4.65,0.40,-1.00,3.10,11.12,100.0,16.05,2.073,11.08,190.0,1.00,0.00,0.00,2648,3,11.6,24.4,82.0,96.0,202.0,5100.0,16.00,97.0,67.5,0,
4.70,0.40,-1.00,3.10,11.12,100.0,16.05,2.080,11.08,190.0,1.00,0.00,0.00,2654,3,11.7,24.5,82.0,96.0,202.0,5133.3,16.00,97.0,67.9,0,
4.75,0.40,-1.00,3.10,11.12,100.0,16.05,2.088,11.08,190.0,1.00,0.00,0.00,2659,3,11.7,24.6,82.0,96.0,202.0,5166.7,16.00,97.0,68.4,0,
4.80,0.40,-1.00,3.10,11.12,100.0,16.05,2.095,11.08,190.0,1.00,0.00,0.00,2664,3,11.8,24.7,82.0,96.0,202.0,5200.0,16.00,97.0,68.9,0,
4.85,0.40,-1.00,3.10,11.12,100.0,16.05,2.103,11.08,190.0,1.00,0.00,0.00,2669,3,11.9,24.8,82.0,96.0,202.0,5233.3,16.00,97.0,69.4,0,
4.90,0.40,-1.00,3.10,11.12,100.0,16.05,2.111,11.08,190.0,1.00,0.00,0.00,2674,3,12.0,25.0,82.0,96.0,202.0,5266.7,16.00,97.0,69.9,0,
4.95,0.40,-1.00,3.10,11.12,100.0,16.05,2.118,11.08,190.0,1.00,0.00,0.00,2679,3,12.1,25.1,82.0,96.0,202.0,5300.0,16.00,97.0,70.4,0,
5.00,0.40,-1.00,3.10,11.12,100.0,16.05,2.126,11.08,190.0,1.00,0.00,0.00,2684,3,12.1,25.2,82.0,96.0,202.0,5333.3,16.00,97.0,70.8,0,
5.05,0.40,-1.00,3.10,11.12,100.0,16.05,2.133,11.08,190.0,1.00,0.00,0.00,2689,3,12.2,25.3,82.0,96.0,202.0,5366.7,16.00,97.0,71.3,0,
5.10,0.40,-1.00,3.10,11.12,100.0,16.05,2.141,11.08,190.0,1.00,0.00,0.00,2694,3,12.3,25.5,82.0,96.0,202.0,5400.0,16.00,97.0,71.8,0,
5.15,0.40,-1.00,3.10,11.12,100.0,16.05,2.148,11.08,190.0,1.00,0.00,0.00,2699,3,12.4,25.6,82.0,96.0,202.0,5433.3,16.00,97.0,72.3,0,
5.20,0.40,-1.00,3.10,11.12,100.0,16.05,2.156,11.08,190.0,1.00,0.00,0.00,2704,3,12.5,25.7,82.0,96.0,202.0,5466.7,16.00,97.0,72.8,0,
5.25,0.40,-1.00,3.10,11.12,100.0,16.05,2.164,11.08,190.0,1.00,0.00,0.00,2709,3,12.5,25.8,82.0,96.0,202.0,5500.0,16.00,97.0,73.3,0,
5.30,0.40,-1.00,3.10,11.12,100.0,16.05,2.171,11.08,190.0,1.00,0.00,0.00,2714,3,12.6,25.9,82.0,96.0,202.0,5533.3,16.00,97.0,73.8,0,
5.35,0.40,-1.00,3.10,11.12,100.0,16.05,2.179,11.08,190.0,1.00,0.00,0.00,2719,3,12.7,26.1,82.0,96.0,202.0,5566.7,16.00,97.0,74.2,0,
5.40,0.40,-1.00,3.10,11.12,100.0,16.05,2.186,11.08,190.0,1.00,0.00,0.00,2724,3,12.8,26.2,82.0,96.0,202.0,5600.0,16.00,97.0,74.7,0,
5.45,0.40,-1.00,3.10,11.12,100.0,16.05,2.194,11.08,190.0,1.00,0.00,0.00,2729,3,12.9,26.3,82.0,96.0,202.0,5633.3,16.00,97.0,75.2,0,
5.50,0.40,-1.00,3.10,11.12,100.0,16.05,2.202,11.08,190.0,1.00,0.00,0.00,2734,3,12.9,26.4,82.0,96.0,202.0,5666.7,16.00,97.0,75.7,0,
5.55,0.40,-1.00,3.10,11.12,100.0,16.05,2.209,11.08,190.0,1.00,0.00,0.00,2739,3,13.0,26.5,82.0,96.0,202.0,5700.0,16.00,97.0,76.2,0,
5.60,0.40,-1.00,3.10,11.12,100.0,16.05,2.217,11.08,190.0,1.00,0.00,0.00,2744,3,13.1,26.7,82.0,96.0,202.0,5733.3,16.00,97.0,76.7,0,
5.65,0.40,-1.00,3.10,11.12,100.0,16.05,2.224,11.08,190.0,1.00,0.00,0.00,2749,3,13.2,26.8,82.0,96.0,202.0,5766.7,16.00,97.0,77.2,0,
5.70,0.40,-1.00,3.10,11.12,100.0,16.05,2.232,11.08,190.0,1.00,0.00,0.00,2755,3,13.3,26.9,82.0,96.0,202.0,5800.0,16.00,97.0,77.6,0,
5.75,0.40,-1.00,3.10,11.12,100.0,16.05,2.239,11.08,190.0,1.00,0.00,0.00,2760,3,13.4,27.0,82.0,96.0,202.0,5833.3,16.00,97.0,78.1,0,
5.80,0.40,-1.00,3.10,11.12,100.0,16.05,2.247,11.08,190.0,1.00,0.00,0.00,2765,3,13.4,27.2,82.0,96.0,202.0,5866.7,16.00,97.0,78.6,0,
5.85,0.40,-1.00,3.10,11.12,100.0,16.05,2.255,11.08,190.0,1.00,0.00,0.00,2770,3,13.5,27.3,82.0,96.0,202.0,5900.0,16.00,97.0,79.1,0,
5.90,0.40,-1.00,3.10,11.12,100.0,16.05,2.262,11.08,190.0,1.00,0.00,0.00,2775,3,13.6,27.4,82.0,96.0,202.0,5933.3,16.00,97.0,79.6,0,
5.95,0.40,-1.00,3.10,11.12,100.0,16.05,2.270,11.08,190.0,1.00,0.00,0.00,2780,3,13.7,27.5,82.0,96.0,202.0,5966.7,16.00,97.0,80.1,0,
6.00,0.40,-1.00,3.10,11.12,100.0,16.05,2.277,11.08,190.0,1.00,0.00,0.00,2785,3,13.8,27.6,82.0,96.0,202.0,6000.0,16.00,97.0,80.5,0,
6.05,0.40,-1.00,3.10,11.12,100.0,16.05,2.285,11.08,190.0,1.00,0.00,0.00,2790,3,13.8,27.8,82.0,96.0,202.0,6033.3,16.00,97.0,81.0,0,
6.10,0.40,-1.00,3.10,11.12,100.0,16.05,2.292,11.08,190.0,1.00,0.00,0.00,2795,3,13.9,27.9,82.0,96.0,202.0,6066.7,16.00,97.0,81.5,0,
6.15,0.40,-1.00,3.10,11.12,100.0,16.05,2.300,11.08,190.0,1.00,0.00,0.00,2800,3,14.0,28.0,82.0,96.0,202.0,6100.0,16.00,97.0,82.0,0,
6.20,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4200.0,0.00,2.0,70.0,0,
6.25,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4120.0,0.00,2.0,69.0,0,
6.30,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4040.0,0.00,2.0,68.0,0,
6.35,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3960.0,0.00,2.0,67.0,0,
6.40,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3880.0,0.00,2.0,66.0,0,
6.45,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3800.0,0.00,2.0,65.0,0,
6.50,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3720.0,0.00,2.0,64.0,0,
6.55,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3640.0,0.00,2.0,63.0,0,
6.60,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3560.0,0.00,2.0,62.0,0,
6.65,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3480.0,0.00,2.0,61.0,0,
6.70,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3400.0,0.00,2.0,60.0,0,
6.75,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,-1.05,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3320.0,0.00,2.0,59.0,0,
