Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Wastegate Vacation - 18psi 93oct.ptm]
2.05,0.40,-1.50,1.50,10.94,100.0,49.86,1.604,10.89,190.0,1.00,0.00,0.00,2878,2,7.8,23.3,82.0,102.0,202.0,4727.8,18.00,98.0,35.7,0,
2.10,0.40,-1.50,1.50,10.93,100.0,49.82,1.612,10.89,190.0,1.00,0.00,0.00,2881,2,8.0,23.8,82.0,102.0,202.0,4781.5,18.00,98.0,36.2,0,
2.15,0.40,-1.50,1.50,10.92,100.0,49.79,1.622,10.88,190.0,1.00,0.00,0.00,2885,2,8.1,24.2,82.0,102.0,202.0,4835.2,18.00,98.0,36.8,0,
2.20,0.40,-1.50,1.50,10.90,100.0,49.76,1.634,10.88,190.0,1.00,0.00,0.00,2889,2,8.3,24.7,82.0,102.0,202.0,4888.9,18.00,98.0,37.3,0,
2.25,0.40,-1.50,1.50,10.89,100.0,49.74,1.648,10.88,190.0,1.00,0.00,0.00,2893,2,8.5,25.1,82.0,102.0,202.0,4942.6,18.00,98.0,37.9,0,
2.30,0.40,-1.50,1.50,10.88,100.0,49.72,1.665,10.88,190.0,1.00,0.00,0.00,2896,2,8.6,25.6,82.0,102.0,202.0,4996.3,18.00,98.0,38.4,0,
2.35,0.40,-1.50,1.50,10.88,100.0,49.72,1.683,10.88,190.0,1.00,0.00,0.00,2900,2,8.8,26.0,82.0,102.0,202.0,5050.0,18.00,98.0,39.0,0,
2.40,0.40,-1.50,1.50,10.88,100.0,49.72,1.703,10.88,190.0,1.00,0.00,0.00,2904,2,9.0,26.4,82.0,102.0,202.0,5103.7,18.00,98.0,39.6,0,
2.45,0.40,-1.50,1.50,10.89,100.0,49.74,1.724,10.88,190.0,1.00,0.00,0.00,2907,2,9.1,26.9,82.0,102.0,202.0,5157.4,18.00,98.0,40.1,0,
2.50,0.40,-1.50,1.50,10.90,100.0,49.76,1.747,10.88,190.0,1.00,0.00,0.00,2911,2,9.3,27.3,82.0,102.0,202.0,5211.1,18.00,98.0,40.7,0,
2.55,0.40,-1.50,1.50,10.92,100.0,49.79,1.769,10.88,190.0,1.00,0.00,0.00,2915,2,9.5,27.8,82.0,102.0,202.0,5264.8,18.00,98.0,41.2,0,
2.60,0.40,-1.50,1.50,10.93,100.0,49.82,1.792,10.89,190.0,1.00,0.00,0.00,2919,2,9.6,28.2,82.0,102.0,202.0,5318.5,18.00,98.0,41.8,0,
2.65,0.40,-1.50,1.50,10.94,100.0,49.86,1.815,10.89,190.0,1.00,0.00,0.00,2922,2,9.8,28.7,82.0,102.0,202.0,5372.2,18.00,98.0,42.3,0,
2.70,0.40,-1.50,1.50,10.95,100.0,49.90,1.837,10.89,190.0,1.00,0.00,0.00,2926,2,10.0,29.1,82.0,102.0,202.0,5425.9,18.00,98.0,42.9,0,
2.75,0.40,-1.50,1.50,10.95,100.0,49.95,1.858,10.89,190.0,1.00,0.00,0.00,2930,2,10.1,29.6,82.0,102.0,202.0,5479.6,18.00,98.0,43.4,0,
2.80,0.40,-1.50,1.50,10.95,100.0,50.00,1.877,10.90,190.0,1.00,0.00,0.00,2933,2,10.3,30.0,82.0,102.0,202.0,5533.3,18.00,98.0,44.0,0,
2.85,0.40,-1.50,1.50,10.95,100.0,50.05,1.894,10.90,190.0,1.00,0.00,0.00,2937,2,10.5,30.4,82.0,102.0,202.0,5587.0,18.00,98.0,44.6,0,
2.90,0.40,-1.50,1.50,10.94,100.0,50.10,1.910,10.90,190.0,1.00,0.00,0.00,2941,2,10.6,30.9,82.0,102.0,202.0,5640.7,18.00,98.0,45.1,0,
2.95,0.40,-1.50,1.50,10.94,100.0,50.14,1.923,10.91,190.0,1.00,0.00,0.00,2944,2,10.8,31.3,82.0,102.0,202.0,5694.4,18.00,98.0,45.7,0,
3.00,0.40,-1.50,1.50,10.93,100.0,50.18,1.934,10.91,190.0,1.00,0.00,0.00,2948,2,11.0,31.8,82.0,102.0,202.0,5748.1,18.00,98.0,46.2,0,
3.05,0.40,-1.50,1.50,10.93,100.0,50.21,1.943,10.92,190.0,1.00,0.00,0.00,2952,2,11.1,32.2,82.0,102.0,202.0,5801.9,18.00,98.0,46.8,0,
3.10,0.40,-1.50,1.50,10.93,100.0,50.24,1.950,10.92,190.0,1.00,0.00,0.00,2956,2,11.3,32.7,82.0,102.0,202.0,5855.6,18.00,98.0,47.3,0,
3.15,0.40,-1.50,1.50,10.94,100.0,50.26,1.956,10.93,190.0,1.00,0.00,0.00,2959,2,11.5,33.1,82.0,102.0,202.0,5909.3,18.00,98.0,47.9,0,
3.20,0.40,-1.50,1.50,10.95,100.0,50.28,1.960,10.93,190.0,1.00,0.00,0.00,2963,2,11.6,33.6,82.0,102.0,202.0,5963.0,18.00,98.0,48.4,0,
3.25,0.40,-1.50,1.50,10.96,100.0,50.28,1.962,10.94,190.0,1.00,0.00,0.00,2967,2,11.8,34.0,82.0,102.0,202.0,6016.7,18.00,98.0,49.0,0,
3.30,0.40,-1.50,1.50,10.98,100.0,50.28,1.964,10.95,190.0,1.00,0.00,0.00,2970,2,12.0,34.4,82.0,102.0,202.0,6070.4,18.00,98.0,49.6,0,
3.35,0.40,-1.50,1.50,11.00,100.0,50.26,1.966,10.95,190.0,1.00,0.00,0.00,2974,2,12.1,34.9,82.0,102.0,202.0,6124.1,18.00,98.0,50.1,0,
3.40,0.40,-1.50,1.50,11.02,100.0,50.24,1.967,10.96,190.0,1.00,0.00,0.00,2978,2,12.3,35.3,82.0,102.0,202.0,6177.8,18.00,98.0,50.7,0,
3.45,0.40,-1.50,1.50,11.04,100.0,50.21,1.970,10.97,190.0,1.00,0.00,0.00,2981,2,12.5,35.8,82.0,102.0,202.0,6231.5,18.00,98.0,51.2,0,
3.50,0.40,-1.50,1.50,11.05,100.0,50.18,1.973,10.97,190.0,1.00,0.00,0.00,2985,2,12.6,36.2,82.0,102.0,202.0,6285.2,18.00,98.0,51.8,0,
3.55,0.40,-1.50,1.50,11.05,100.0,50.14,1.977,10.98,190.0,1.00,0.00,0.00,2989,2,12.8,36.7,82.0,102.0,202.0,6338.9,18.00,98.0,52.3,0,
3.60,0.40,-1.50,1.50,11.06,100.0,50.10,1.983,10.99,190.0,1.00,0.00,0.00,2993,2,13.0,37.1,82.0,102.0,202.0,6392.6,18.00,98.0,52.9,0,
3.65,0.40,-1.50,1.50,11.05,100.0,50.05,1.990,10.99,190.0,1.00,0.00,0.00,2996,2,13.1,37.6,82.0,102.0,202.0,6446.3,18.00,98.0,53.4,0,
3.70,0.40,-1.50,1.50,11.05,100.0,50.00,2.000,11.00,190.0,1.00,0.00,0.00,3000,2,13.3,38.0,82.0,102.0,202.0,6500.0,18.00,98.0,54.0,0,
3.80,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4200.0,0.00,2.0,70.0,0,
3.85,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4120.0,0.00,2.0,69.0,0,
3.90,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4040.0,0.00,2.0,68.0,0,
3.95,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3960.0,0.00,2.0,67.0,0,
4.00,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3880.0,0.00,2.0,66.0,0,
4.05,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3800.0,0.00,2.0,65.0,0,
4.10,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3720.0,0.00,2.0,64.0,0,
4.15,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3640.0,0.00,2.0,63.0,0,
4.20,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3560.0,0.00,2.0,62.0,0,
4.25,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3480.0,0.00,2.0,61.0,0,
4.30,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3400.0,0.00,2.0,60.0,0,
4.35,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3320.0,0.00,2.0,59.0,0,
4.40,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3240.0,0.00,2.0,58.0,0,
4.45,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3160.0,0.00,2.0,57.0,0,
4.50,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3080.0,0.00,2.0,56.0,0,
4.55,0.40,-1.50,1.50,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3000.0,0.00,2.0,55.0,0,
4.70,0.40,-1.50,1.50,13.35,100.0,6.00,0.652,12.80,190.0,1.00,0.00,0.00,2100,3,5.5,14.0,82.0,88.0,202.0,2800.0,6.00,98.0,34.0,0,
4.75,0.40,-1.50,1.50,13.36,100.0,6.00,0.658,12.80,190.0,1.00,0.00,0.00,2102,3,5.6,14.0,82.0,88.0,202.0,2833.3,6.00,98.0,34.5,0,
4.80,0.40,-1.50,1.50,13.36,100.0,6.00,0.665,12.80,190.0,1.00,0.00,0.00,2104,3,5.7,14.1,82.0,88.0,202.0,2866.7,6.00,98.0,35.0,0,
4.85,0.40,-1.50,1.50,13.37,100.0,6.00,0.671,12.80,190.0,1.00,0.00,0.00,2106,3,5.8,14.1,82.0,88.0,202.0,2900.0,6.00,98.0,35.5,0,
4.90,0.40,-1.50,1.50,13.37,100.0,6.06,0.678,12.80,190.0,1.00,0.00,0.00,2109,3,5.9,14.2,82.0,88.0,202.0,2933.3,6.06,98.0,35.9,0,
4.95,0.40,-1.50,1.50,13.38,100.0,7.55,0.710,12.80,190.0,1.00,0.00,0.00,2135,3,5.9,14.2,82.0,88.5,202.0,2966.7,7.55,98.0,36.4,0,
5.00,0.40,-1.50,1.50,13.38,100.0,9.03,0.742,12.80,190.0,1.00,0.00,0.00,2160,3,6.0,14.3,82.0,89.0,202.0,3000.0,18.00,98.0,36.9,0,
5.05,0.40,-1.50,1.50,11.05,100.0,10.52,0.774,10.97,190.0,1.00,0.00,0.00,2186,3,6.0,14.3,82.0,89.4,202.0,3033.3,18.00,98.0,37.4,0,
5.10,0.40,-1.50,1.50,11.04,100.0,12.01,0.806,10.97,190.0,1.00,0.00,0.00,2211,3,6.1,14.4,82.0,89.9,202.0,3066.7,18.00,98.0,37.9,0,
5.15,0.40,-1.50,1.50,11.04,100.0,13.50,0.838,10.97,190.0,1.00,0.00,0.00,2237,3,6.1,14.4,82.0,90.4,202.0,3100.0,18.00,98.0,38.4,0,
5.20,0.40,-1.50,1.50,11.03,100.0,14.99,0.869,10.96,190.0,1.00,0.00,0.00,2263,3,6.2,14.5,82.0,90.8,202.0,3133.3,18.00,98.0,38.8,0,
5.25,0.40,-1.50,1.50,11.02,100.0,16.49,0.901,10.96,190.0,1.00,0.00,0.00,2288,3,6.2,14.6,82.0,91.3,202.0,3166.7,18.00,98.0,39.3,0,
5.30,0.40,-1.50,1.50,11.01,100.0,17.98,0.933,10.96,190.0,1.00,0.00,0.00,2314,3,6.3,14.8,82.0,91.8,202.0,3200.0,18.00,98.0,39.8,0,
5.35,0.40,-1.50,1.50,11.00,100.0,19.47,0.964,10.95,190.0,1.00,0.00,0.00,2339,3,6.3,15.0,82.0,92.3,202.0,3233.3,18.00,98.0,40.3,0,
5.40,0.40,-1.50,1.50,10.99,100.0,20.97,0.995,10.95,190.0,1.00,0.00,0.00,2365,3,6.4,15.1,82.0,92.7,202.0,3266.7,18.00,98.0,40.8,0,
5.45,0.40,-1.50,1.50,10.98,100.0,22.46,1.026,10.95,190.0,1.00,0.00,0.00,2391,3,6.4,15.4,82.0,93.2,202.0,3300.0,18.00,98.0,41.3,0,
5.50,0.40,-1.50,1.50,10.97,100.0,23.95,1.056,10.94,190.0,1.00,0.00,0.00,2416,3,6.5,15.6,82.0,93.7,202.0,3333.3,18.00,98.0,41.8,0,
5.55,0.40,-1.50,1.50,10.96,100.0,25.44,1.087,10.94,190.0,1.00,0.00,0.00,2442,3,6.5,15.8,82.0,94.1,202.0,3366.7,18.00,98.0,42.2,0,
5.60,0.40,-1.50,1.50,10.95,100.0,26.93,1.117,10.94,190.0,1.00,0.00,0.00,2467,3,6.6,16.1,82.0,94.6,202.0,3400.0,18.00,98.0,42.7,0,
5.65,0.40,-1.50,1.50,10.94,100.0,28.42,1.147,10.93,190.0,1.00,0.00,0.00,2493,3,6.6,16.3,82.0,95.1,202.0,3433.3,18.00,98.0,43.2,0,
5.70,0.40,-1.50,1.50,10.94,100.0,29.91,1.177,10.93,190.0,1.00,0.00,0.00,2518,3,6.7,16.6,82.0,95.6,202.0,3466.7,18.00,98.0,43.7,0,
5.75,0.40,-1.50,1.50,10.93,100.0,31.39,1.206,10.93,190.0,1.00,0.00,0.00,2544,3,6.7,16.9,82.0,96.0,202.0,3500.0,18.00,98.0,44.2,0,
5.80,0.40,-1.50,1.50,10.93,100.0,32.87,1.236,10.92,190.0,1.00,0.00,0.00,2570,3,6.8,17.2,82.0,96.5,202.0,3533.3,18.00,98.0,44.7,0,
5.85,0.40,-1.50,1.50,10.93,100.0,34.35,1.265,10.92,190.0,1.00,0.00,0.00,2595,3,6.8,17.6,82.0,97.0,202.0,3566.7,18.00,98.0,45.2,0,
5.90,0.40,-1.50,1.50,10.93,100.0,35.83,1.295,10.92,190.0,1.00,0.00,0.00,2621,3,6.9,17.9,82.0,97.4,202.0,3600.0,18.00,98.0,45.6,0,
5.95,0.40,-1.50,1.50,10.93,100.0,37.31,1.324,10.91,190.0,1.00,0.00,0.00,2646,3,6.9,18.3,82.0,97.9,202.0,3633.3,18.00,98.0,46.1,0,
6.00,0.40,-1.50,1.50,10.93,100.0,38.78,1.354,10.91,190.0,1.00,0.00,0.00,2672,3,7.0,18.7,82.0,98.4,202.0,3666.7,18.00,98.0,46.6,0,
6.05,0.40,-1.50,1.50,10.94,100.0,40.25,1.384,10.91,190.0,1.00,0.00,0.00,2698,3,7.0,19.1,82.0,98.9,202.0,3700.0,18.00,98.0,47.1,0,
6.10,0.40,-1.50,1.50,10.94,100.0,41.72,1.414,10.91,190.0,1.00,0.00,0.00,2723,3,7.1,19.5,82.0,99.3,202.0,3733.3,18.00,98.0,47.6,0,
6.15,0.40,-1.50,1.50,10.94,100.0,43.18,1.445,10.90,190.0,1.00,0.00,0.00,2749,3,7.1,19.9,82.0,99.8,202.0,3766.7,18.00,98.0,48.1,0,
6.20,0.40,-1.50,1.50,10.95,100.0,44.65,1.475,10.90,190.0,1.00,0.00,0.00,2774,3,7.2,20.4,82.0,100.3,202.0,3800.0,18.00,98.0,48.5,0,
6.25,0.40,-1.50,1.50,10.95,100.0,46.11,1.507,10.90,190.0,1.00,0.00,0.00,2800,3,7.2,20.8,82.0,100.7,202.0,3833.3,18.00,98.0,49.0,0,
6.30,0.40,-1.50,1.50,10.95,100.0,47.57,1.538,10.90,190.0,1.00,0.00,0.00,2826,3,7.3,21.3,82.0,101.2,202.0,3866.7,18.00,98.0,49.5,0,
6.35,0.40,-1.50,1.50,10.95,100.0,49.02,1.571,10.90,190.0,1.00,0.00,0.00,2851,3,7.3,21.8,82.0,101.7,202.0,3900.0,18.00,98.0,50.0,0,
6.40,0.40,-1.50,1.50,10.96,100.0,49.97,1.593,10.89,190.0,1.00,0.00,0.00,2869,3,7.4,22.2,82.0,102.0,202.0,3933.3,18.00,98.0,50.5,0,
6.45,0.40,-1.50,1.50,10.95,100.0,49.95,1.595,10.89,190.0,1.00,0.00,0.00,2871,3,7.5,22.5,82.0,102.0,202.0,3966.7,18.00,98.0,51.0,0,
6.50,0.40,-1.50,1.50,10.95,100.0,49.92,1.597,10.89,190.0,1.00,0.00,0.00,2873,3,7.6,22.7,82.0,102.0,202.0,4000.0,18.00,98.0,51.5,0,
6.55,0.40,-1.50,1.50,10.95,100.0,49.90,1.599,10.89,190.0,1.00,0.00,0.00,2875,3,7.7,23.0,82.0,102.0,202.0,4033.3,18.00,98.0,51.9,0,
6.60,0.40,-1.50,1.50,10.94,100.0,49.87,1.603,10.89,190.0,1.00,0.00,0.00,2877,3,7.8,23.2,82.0,102.0,202.0,4066.7,18.00,98.0,52.4,0,
6.65,0.40,-1.50,1.50,10.94,100.0,49.85,1.606,10.89,190.0,1.00,0.00,0.00,2879,3,7.8,23.5,82.0,102.0,202.0,4100.0,18.00,98.0,52.9,0,
6.70,0.40,-1.50,1.50,10.93,100.0,49.83,1.611,10.89,190.0,1.00,0.00,0.00,2881,3,7.9,23.7,82.0,102.0,202.0,4133.3,18.00,98.0,53.4,0,
6.75,0.40,-1.50,1.50,10.92,100.0,49.81,1.615,10.88,190.0,1.00,0.00,0.00,2883,3,8.0,23.9,82.0,102.0,202.0,4166.7,18.00,98.0,53.9,0,
6.80,0.40,-1.50,1.50,10.92,100.0,49.79,1.621,10.88,190.0,1.00,0.00,0.00,2885,3,8.1,24.2,82.0,102.0,202.0,4200.0,18.00,98.0,54.4,0,
6.85,0.40,-1.50,1.50,10.91,100.0,49.77,1.627,10.88,190.0,1.00,0.00,0.00,2887,3,8.2,24.4,82.0,102.0,202.0,4233.3,18.00,98.0,54.8,0,
